地产开发商 / 业主,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安邦集团,宝龙集团,保利地产,奔驰,波音,复星地产,飞洲国际,高力地产,岗宏集团,华润置地,华侨城,华强集团,恒大集团,金地集团,金鹰国际,金大地,经纬置地,静安区市容局,凯德集团,凯悦,绿地集团,陆家嘴集团,鹿鸣谷,龙湖地产,临港集团,融创,瑞安集团,世茂集团,中信泰富,上海达任置业,上海地产,三湘集团,上实集团,上海天文馆,铁狮门,太古地产,天誉置业,万年基业集团,万科集团,王府井集团,吴园美术馆,吴中美术馆,吴江宾馆,现代集团,协和房地产,远洋集团,阳光城集团,银城地产,伊甸城房产,中信置业,中洲集团,中海集团,中国铁建,中粮集团,中央美术学院,中集产城,招商局集团
Real Estate Developers / Owners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anbang Group,Powerlong Group,Poly Real Estate,Mercedes-Benz,Boeing,Fosun Property,Feizhou International,Colliers International,Ganghong Group,China Resources Land,OCT Group,Huaqiang Group,Evergrande Group,Gemdale Group,Golden Eagle International,Jindadi Group,Jingwei Property,Jing'an City Appearance Bureau,CapitaLand,Hyatt,Greenland Group,Lujiazui Group,Luming Valley,Longfor Properties,Lingang Group,Sunac,Shui On Group,Shimao Group,CITIC Pacific,Shanghai Daren Property,Shanghai Real Estate,Sanxiang Group,SIIC,Shanghai Astronomy Museum,Tishman Speyer,Swire Properties,Skyfame Realty,Wannian Jiye Group,Vanke,Wangfujing Group,Wuyuan Art Museum,Wuzhong Art Museum,Wujiang Hotel,Modern Group,Xiehe Real Estate,Sino-Ocean Group,Yango Group,Yincheng Real Estate,Eden City Real Estate,CITIC Real Estate,Chow Tai Fook/Zhongzhou Group,China Overseas Land & Investment,CRCC,COFCO,CAFA,CIMC Industry & City,China Merchants Group
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
设计公司 / 机构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECOM,凯达环,BroadwayMalyan,BENOY,B+H,BCA,BeltCollins贝尔高林,CRTKL,CCDI,DLR Group,大舍建筑,都设设计,ENNEAD,5+Design(五杰设计),飞来飞去,Goettsch Partners,Gensler,HLW LLP,HENN,华东建筑设计研究院,JERDE,KAISTUDIOS,KPF,蒙泰室内设计,SASAKI,SWA,SOM,同济建筑设计研究院,天华建筑,同济创意设计学院,浙大建筑设计研究院,中央美术学院,,,,,,,,,,,,,,,,,,,,,,,,,
Design Companies / Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECOM,Aedas,BroadwayMalyan,BENOY,B+H,BCA,BeltCollins,CRTKL,CCDI,DLR Group,Atelier Deshaus,Dushe Design,ENNEAD,5+Design,Feilaifeiqu,Goettsch Partners,Gensler,HLW LLP,HENN,ECADI,JERDE,KAISTUDIOS,KPF,Mengtai Interior Design,SASAKI,SWA,SOM,TJAD,Tianhua,Tongji College of Design and Innovation,UAD,CAFA,,,,,,,,,,,,,,,,,,,,,,,,,
